ETL,ETL-2,Perovskite,Perovskite_deposition_procedure,Perovskite_deposition_method,Antisolvent,Precursor_solution,HTL,HTL_additive,ETL_Passivator,HTL_Passivator,Additive,Use_Cl,PCEbest,Cs,MA,FA,Rb,Pb,Sn,I,Br,Cl,Bandgap
cTiO2,mTiO2,MAPbI3,one-step,spin,no,DMF,no,0,0,0,0,0,0.1,0,1,0,0,1,0,1,0,0,1.530113848
Nb2O5,no,FA0.85MA0.15Pb(I0.85Br0.15)3,one-step,spin2-3,chlorobenzene,DMF+DMSO,Spiro-OMeTAD,Li+TBP+FK209,0,0,0,0,0.1,0,0.15,0.85,0,1,0,0.85,0.15,0,1.627176705
TiO2,no,MAPbI3,two-step,spin-dip,no,DMF+DMSO,CuSCN,0,0,0,0,0,0.1,0,1,0,0,1,0,1,0,0,1.530113848
no,no,MAPbI3,one-step,spin,no,DMF,PEDOT:PSS,0,0,0,0,Cl,0.1,0,1,0,0,1,0,1,0,0,1.530113848
no,mTiO2,MAPbI3,two-step,spin-dip,no,DMF,no,0,0,0,0,0,0.1,0,1,0,0,1,0,1,0,0,1.530113848
PCBM,BCP,MAPbI3,one-step,spin,no,DMF,no,0,0,0,0,0,0.1,0,1,0,0,1,0,1,0,0,1.530113848
PCBM,no,MAPbI3,one-step,spin2-3,no,GBL,NiOx,0,0,0,0,0,0.1,0,1,0,0,1,0,1,0,0,1.530113848
cTiO2,TiO2,MASnI3,one-step,spin,diethylether,DMF+DMSO,PTAA,0,0,0,0,0,0.11,0,1,0,0,0,1,1,0,0,1.259715
cTiO2,mTiO2,MAPbI3,one-step,spin,chlorobenzene,DMF,no,0,0,0,0,0,0.2,0,1,0,0,1,0,1,0,0,1.530113848
cTiO2,mTiO2,FAPbI3,one-step,spin,no,DMF,Spiro-OMeTAD,Li+TBP,0,0,0,0,0.2,0,0,1,0,1,0,1,0,0,1.50607803
ZnO,no,MAPbI3,two-step,spin-dip,no,DMF,no,0,0,0,0,0,0.3,0,1,0,0,1,0,1,0,0,1.530113848
TiO2,no,MAPbI3,two-step,spin-spin,no,DMF,no,0,0,0,0,0,0.3,0,1,0,0,1,0,1,0,0,1.530113848
cTiO2,mTiO2,MAPbI3,one-step,spin,no,GBL,no,0,0,0,0,0,0.3,0,1,0,0,1,0,1,0,0,1.530113848
no,mTiO2,MAPbI3,two-step,spin-dip,no,DMF,Spiro-OMeTAD,Li+TBP,0,0,0,0,0.3,0,1,0,0,1,0,1,0,0,1.530113848
PCBM,no,MAPbI3,one-step,spin,no,DMF,PEDOT:PSS,0,0,0,0,Cl,0.3,0,1,0,0,1,0,1,0,0,1.530113848
TiO2,mAl2O3,MAPbBr3,one-step,spin2-3,no,DMF,CBP,Li+TBP,0,0,0,0,0.4,0,1,0,0,1,0,0,1,0,2.275418182
TiO2,no,MAPbBr3,two-step,spin-dip,no,DMF,Spiro-OMeTAD,Li+TBP,0,0,0,0,0.4,0,1,0,0,1,0,0,1,0,2.275418182
