iter	RMSE
0	5.260874815
1	5.090718356
2	4.920925597
3	4.769461226
4	4.645771168
5	4.528303563
6	4.422697606
7	4.324516588
8	4.231452445
9	4.147314843
10	4.080875404
11	4.017171658
12	3.954897559
13	3.895259163
14	3.844321332
15	3.80294351
16	3.76287966
17	3.736150035
18	3.70393151
19	3.673519994
20	3.645945496
21	3.624559536
22	3.602437915
23	3.574629682
24	3.554864659
25	3.546741828
26	3.521312539
27	3.505598434
28	3.488916735
29	3.472367632
30	3.459453634
31	3.444536974
32	3.434324563
33	3.416756415
34	3.404872101
35	3.399540539
36	3.38624199
37	3.378411327
38	3.372387697
39	3.363972052
40	3.359956423
41	3.350065611
42	3.343284366
43	3.336469126
44	3.329714986
45	3.327428823
46	3.322079511
47	3.308537247
48	3.305422649
49	3.299126954
50	3.292208236
51	3.285134593
52	3.281665812
53	3.2798792
54	3.277882691
55	3.275737346
56	3.271088771
57	3.268649169
58	3.264859773
59	3.258210063
60	3.256579146
61	3.254183449
62	3.251331944
63	3.243373982
64	3.24242962
65	3.241284344
66	3.238690739
67	3.234917964
68	3.228344712
69	3.22542093
70	3.224720171
71	3.224045041
72	3.222299165
73	3.217138566
74	3.21590024
75	3.212663941
76	3.210421603
77	3.208653488
78	3.204090818
79	3.202933629
80	3.199953629
81	3.199339942
82	3.197012222
83	3.194234721
84	3.189028544
85	3.188679841
86	3.186684105
87	3.185756414
88	3.18428606
89	3.181745235
90	3.180686261
91	3.180018551
92	3.179389177
93	3.175615421
94	3.174379506
95	3.173709316
96	3.173137344
97	3.169374783
98	3.167734931
99	3.165685366
100	3.163592335
101	3.162943165
102	3.159077115
103	3.158601802
104	3.157304256
105	3.154442572
106	3.150222091
107	3.147963507
108	3.147304967
109	3.146557403
110	3.145056755
111	3.141788083
112	3.13872821
113	3.138124207
114	3.134815954
115	3.131123551
116	3.127322812
117	3.123164276
118	3.121090636
119	3.120590606
120	3.119991805
121	3.117769003
122	3.114920844
123	3.113443232
124	3.111454012
125	3.109939452
126	3.105387465
127	3.096612735
128	3.095097161
129	3.094549515
130	3.092028449
131	3.090730525
132	3.089903798
133	3.089203097
134	3.088784563
135	3.087836603
136	3.087049405
137	3.086585865
138	3.086154442
139	3.085449839
140	3.083451207
141	3.082852484
142	3.081592768
143	3.078490896
144	3.075575428
145	3.073066185
146	3.070990891
147	3.06941123
148	3.058944876
149	3.057759258
150	3.057075814
151	3.055303656
152	3.052798986
153	3.049450797
154	3.04762463
155	3.047088525
156	3.045117936
157	3.044887018
158	3.044182481
159	3.041406017
160	3.040302976
161	3.040144088
162	3.037663404
163	3.036196749
164	3.032396332
165	3.031209988
166	3.029612001
167	3.024844083
168	3.024431855
169	3.021930834
170	3.012766953
171	3.012509781
172	3.012284867
173	3.011744728
174	3.01147549
175	3.011324456
176	3.011059174
177	3.009397156
178	3.008533656
179	3.006685767
180	3.005467532
181	3.002129767
182	3.001149907
183	2.999930992
184	2.99817754
185	2.998031591
186	2.995971327
187	2.992752415
188	2.990870829
189	2.990546744
190	2.990124717
191	2.987011519
192	2.98536991
193	2.985064143
194	2.983447397
195	2.983132495
196	2.981585539
197	2.980748182
198	2.978911488
199	2.977582165
200	2.976689063
201	2.974773769
202	2.973222112
203	2.972513604
204	2.972258225
205	2.971748282
206	2.970817704
207	2.970008468
208	2.967801571
209	2.966908873
210	2.965948399
211	2.965697215
212	2.964794009
213	2.964068141
214	2.960132473
215	2.958698416
216	2.956830787
217	2.956263627
218	2.955345332
219	2.951607748
220	2.951388201
221	2.949994109
222	2.94987998
223	2.947618109
224	2.946577984
225	2.945388845
226	2.94378414
227	2.943540655
228	2.942559761
229	2.942312799
230	2.941085319
231	2.939490091
232	2.939288582
233	2.938816234
234	2.937441536
235	2.936696536
236	2.936396293
237	2.93409454
238	2.933895154
239	2.933054699
240	2.932760055
241	2.932247699
242	2.931707971
243	2.930363747
244	2.930070438
245	2.928717073
246	2.928630497
247	2.927948873
248	2.927437997
249	2.926860052
250	2.926371316
251	2.925938335
252	2.924963335
253	2.924755909
254	2.924525051
255	2.924273258
256	2.923547523
257	2.923364496
258	2.922866055
259	2.922259387
260	2.922106246
261	2.920880477
262	2.920207427
263	2.920095177
264	2.919925452
265	2.919849537
266	2.918489731
267	2.918301281
268	2.917046224
269	2.916613113
270	2.916030064
271	2.915247672
272	2.915046818
273	2.914107103
274	2.91316224
275	2.913045501
276	2.912524832
277	2.912102538
278	2.911550098
279	2.911450083
280	2.910798381
281	2.910021589
282	2.909574226
283	2.908197031
284	2.907641961
285	2.906507311
286	2.905665141
287	2.903121949
288	2.901469995
289	2.901372786
290	2.900548771
291	2.900394124
292	2.899698471
293	2.899344902
294	2.899266104
295	2.898626181
296	2.898566483
297	2.898118705
298	2.897712624
299	2.896916712
300	2.896364083
301	2.895624312
302	2.895271329
303	2.895033154
304	2.894435553
305	2.894303157
306	2.893784896
307	2.89263216
308	2.892124625
309	2.890890936
310	2.89049451
311	2.890424877
312	2.889992208
313	2.889286179
314	2.888964452
315	2.888725756
316	2.886749022
317	2.886508695
318	2.886359725
319	2.885903169
320	2.885511312
321	2.884738041
322	2.880925186
323	2.880140065
324	2.879522307
325	2.878263872
326	2.878161611
327	2.877186592
328	2.876734123
329	2.876393998
330	2.876034201
331	2.875835698
332	2.875725352
333	2.874327483
334	2.874169243
335	2.873618788
336	2.873165667
337	2.867456179
338	2.867034814
339	2.866969899
340	2.865334687
341	2.865192188
342	2.864812919
343	2.864557611
344	2.864509886
345	2.861801704
346	2.861346802
347	2.8610794
348	2.860893382
349	2.860095633
350	2.859882862
351	2.859556821
352	2.859292359
353	2.857998218
354	2.857917275
355	2.857745686
356	2.853376666
357	2.853119236
358	2.85288762
359	2.85278335
360	2.852537779
361	2.851045936
362	2.850988817
363	2.846518425
364	2.846447165
365	2.846001565
366	2.845930935
367	2.845390268
368	2.845157196
369	2.843264354
370	2.843101811
371	2.842793889
372	2.842509293
373	2.842173165
374	2.841393159
375	2.841318366
376	2.839382459
377	2.839296843
378	2.838919085
379	2.838587966
380	2.838231573
381	2.8377296
382	2.837192805
383	2.836749437
384	2.836379451
385	2.836272362
386	2.835574989
387	2.835429705
388	2.834370452
389	2.827082981
390	2.826944842
391	2.825704711
392	2.82541645
393	2.825132231
394	2.824324751
395	2.822916986
396	2.822347552
397	2.821937699
398	2.821064631
399	2.819752204
400	2.819662469
401	2.819019033
402	2.818690954
403	2.818282518
404	2.817764653
405	2.817573827
406	2.817177105
407	2.816669524
408	2.814911491
409	2.814744431
410	2.813636328
411	2.813422924
412	2.813216659
413	2.813120024
414	2.812869318
415	2.811590904
416	2.811049583
417	2.81011974
418	2.810069137
419	2.809902255
420	2.809758061
421	2.808549711
422	2.808416059
423	2.807722939
424	2.806111327
425	2.805904711
426	2.804930295
427	2.804659004
428	2.802304079
429	2.802222926
430	2.802157162
431	2.801918442
432	2.801798001
433	2.801687258
434	2.801458482
435	2.800827103
436	2.800326266
437	2.799351589
438	2.79924794
439	2.799128412
440	2.798725713
441	2.798051679
442	2.797795698
443	2.797575946
444	2.797057706
445	2.796934533
446	2.796629099
447	2.796284278
448	2.796181543
449	2.795276024
450	2.79414121
451	2.793871023
452	2.793321589
