iter	Passed	Remaining
0	9	48337
1	16	42309
2	31	52042
3	47	58784
4	56	56054
5	70	58852
6	92	66129
7	102	63804
8	111	61572
9	120	60033
10	129	58525
11	139	58022
12	150	57826
13	159	56855
14	169	56230
15	177	55421
16	187	54864
17	197	54748
18	206	54140
19	215	53773
20	235	55720
21	243	55187
22	253	54916
23	262	54431
24	271	54078
25	280	53702
26	289	53404
27	314	55776
28	339	58139
29	348	57726
30	358	57494
31	369	57327
32	377	56892
33	387	56562
34	395	56158
35	406	56055
36	431	57890
37	440	57507
38	449	57188
39	472	58533
40	481	58187
41	488	57721
42	498	57423
43	517	58256
44	525	57815
45	535	57707
46	544	57402
47	553	57074
48	560	56675
49	568	56329
50	577	56025
51	586	55828
52	594	55535
53	604	55354
54	613	55135
55	622	54914
56	630	54719
57	639	54500
58	658	55170
59	667	54928
60	675	54710
61	682	54391
62	691	54200
63	701	54082
64	710	53930
65	720	53876
66	736	54237
67	745	54071
68	754	53931
69	776	54689
70	791	54943
71	800	54800
72	808	54565
73	817	54430
74	826	54268
75	835	54120
76	844	53986
77	857	54136
78	872	54323
79	881	54186
80	889	54009
81	898	53904
82	907	53772
83	919	53800
84	927	53608
85	933	53349
86	941	53165
87	952	53181
88	961	53080
89	969	52902
90	977	52717
91	985	52555
92	992	52392
93	1004	52448
94	1015	52423
95	1023	52265
96	1031	52143
97	1040	52026
98	1048	51909
99	1056	51745
100	1064	51621
101	1071	51471
102	1081	51405
103	1091	51380
104	1099	51249
105	1106	51107
106	1121	51299
107	1129	51166
108	1137	51019
109	1144	50885
110	1152	50749
111	1159	50605
112	1167	50485
113	1174	50346
114	1182	50234
115	1189	50097
116	1197	49983
117	1215	50272
118	1222	50140
119	1230	50027
120	1237	49899
121	1245	49796
122	1252	49675
123	1277	50233
124	1286	50169
125	1295	50121
126	1315	50472
127	1323	50359
128	1330	50257
129	1338	50134
130	1346	50041
131	1353	49932
132	1361	49835
133	1369	49727
134	1377	49629
135	1384	49523
136	1391	49406
137	1399	49312
138	1407	49228
139	1416	49175
140	1425	49114
141	1434	49068
142	1442	49000
143	1464	49381
144	1485	49739
145	1494	49677
146	1502	49610
147	1511	49565
148	1526	49695
149	1534	49627
150	1545	49620
151	1554	49576
152	1573	49851
153	1583	49827
154	1595	49877
155	1604	49807
156	1613	49760
157	1621	49694
158	1630	49632
159	1642	49671
160	1656	49775
161	1670	49899
162	1679	49852
163	1688	49785
164	1703	49925
165	1713	49900
166	1734	50188
167	1743	50134
168	1751	50069
169	1760	50013
170	1785	50410
171	1794	50376
172	1802	50306
173	1811	50253
174	1820	50183
175	1829	50136
176	1837	50072
177	1846	50016
178	1861	50122
179	1877	50275
180	1887	50255
181	1896	50197
182	1908	50249
183	1917	50185
184	1927	50167
185	1939	50207
186	1948	50159
187	1974	50539
188	1984	50516
189	1993	50458
190	2003	50447
191	2013	50432
192	2043	50896
193	2052	50836
194	2077	51196
195	2095	51373
196	2104	51310
197	2126	51581
198	2135	51517
199	2143	51438
200	2166	51725
201	2175	51675
202	2184	51614
203	2205	51853
204	2230	52180
205	2239	52115
206	2248	52065
207	2256	51996
208	2267	51982
209	2276	51929
210	2284	51860
211	2293	51805
212	2302	51747
213	2315	51788
214	2325	51746
215	2333	51682
216	2342	51628
217	2356	51701
218	2377	51899
219	2388	51899
220	2410	52120
221	2418	52056
222	2439	52252
223	2448	52197
224	2456	52138
225	2465	52089
226	2475	52041
227	2483	51982
228	2492	51927
229	2514	52139
230	2522	52076
231	2531	52020
232	2539	51956
233	2550	51956
234	2561	51948
235	2570	51885
236	2579	51842
237	2588	51784
238	2597	51735
239	2612	51824
240	2643	52195
241	2652	52160
242	2661	52103
243	2669	52042
244	2678	51980
245	2686	51920
246	2695	51869
247	2703	51811
248	2713	51765
249	2738	52033
250	2747	51984
251	2756	51927
252	2764	51877
253	2787	52085
254	2796	52040
255	2805	51981
256	2814	51936
257	2834	52093
258	2843	52041
259	2851	51983
260	2860	51937
261	2868	51881
262	2877	51831
263	2886	51774
264	2896	51749
265	2904	51692
266	2915	51684
267	2924	51640
268	2933	51587
269	2944	51591
270	2955	51575
271	2964	51525
272	2972	51467
273	2981	51419
274	2990	51387
275	2999	51336
276	3007	51286
277	3025	51397
278	3034	51345
279	3056	51517
280	3081	51749
281	3090	51703
282	3099	51657
283	3107	51610
284	3116	51559
285	3125	51520
286	3134	51469
287	3148	51510
288	3157	51465
289	3165	51417
290	3174	51372
291	3183	51331
292	3192	51293
293	3201	51241
294	3210	51202
295	3218	51153
296	3258	51603
297	3267	51552
298	3276	51510
299	3286	51481
300	3295	51444
301	3304	51406
302	3321	51484
303	3331	51457
304	3339	51407
305	3348	51359
306	3356	51316
307	3369	51333
308	3392	51497
309	3400	51449
310	3428	51694
311	3437	51647
312	3446	51615
313	3455	51567
314	3464	51524
315	3473	51486
316	3481	51436
317	3490	51393
318	3499	51345
319	3507	51304
320	3516	51256
321	3541	51450
322	3550	51407
323	3560	51382
324	3580	51511
325	3596	51567
326	3605	51519
327	3614	51483
328	3623	51440
329	3631	51393
330	3640	51352
331	3649	51309
332	3657	51263
333	3677	51381
334	3686	51334
335	3706	51443
336	3714	51395
337	3723	51354
338	3731	51306
339	3742	51288
340	3750	51243
341	3759	51205
342	3768	51160
343	3776	51119
344	3789	51130
345	3798	51088
346	3808	51068
347	3821	51080
348	3830	51044
349	3839	51007
350	3847	50960
351	3856	50920
352	3865	50880
353	3874	50846
354	3882	50803
355	3891	50766
356	3900	50723
357	3914	50755
358	3923	50717
359	3931	50675
360	3953	50807
361	3962	50769
362	3970	50714
363	3978	50676
364	3987	50636
365	3996	50602
366	4005	50565
367	4013	50522
368	4037	50666
369	4046	50635
370	4070	50788
371	4079	50754
372	4088	50718
373	4097	50682
374	4115	50757
375	4124	50716
376	4132	50677
377	4141	50642
378	4164	50782
379	4173	50743
380	4182	50701
381	4191	50666
382	4199	50625
383	4208	50595
384	4217	50554
385	4226	50520
386	4234	50475
387	4244	50457
388	4253	50418
389	4262	50385
390	4271	50354
391	4280	50314
392	4289	50281
393	4298	50245
394	4306	50211
395	4315	50171
396	4324	50135
397	4334	50114
398	4343	50081
399	4366	50215
400	4375	50180
401	4383	50136
402	4391	50095
403	4400	50056
404	4408	50021
405	4417	49981
406	4425	49947
407	4436	49932
408	4445	49901
409	4454	49871
410	4462	49830
411	4471	49792
412	4479	49751
413	4488	49716
414	4496	49678
415	4505	49644
416	4513	49607
417	4534	49701
418	4556	49816
419	4580	49954
420	4617	50217
421	4626	50186
422	4634	50149
423	4643	50117
424	4652	50079
425	4661	50047
426	4669	50010
427	4678	49981
428	4687	49948
429	4696	49911
430	4704	49876
431	4713	49840
432	4723	49824
433	4741	49886
434	4766	50022
435	4791	50153
436	4800	50127
437	4810	50099
438	4818	50062
439	4827	50030
440	4835	49987
441	4846	49974
442	4854	49939
443	4863	49901
444	4884	49994
445	4894	49975
446	4905	49965
447	4913	49929
448	4928	49951
449	4938	49936
450	4947	49898
451	4968	49993
452	4991	50104
453	5000	50075
454	5009	50042
455	5018	50009
456	5029	49998
457	5037	49961
458	5046	49926
459	5068	50028
460	5086	50077
461	5095	50055
462	5116	50141
463	5126	50113
464	5134	50076
465	5147	50081
466	5157	50057
467	5165	50021
468	5173	49985
469	5182	49948
470	5191	49917
471	5211	49995
472	5220	49960
473	5228	49924
474	5237	49894
475	5258	49976
476	5266	49938
477	5275	49906
478	5283	49871
479	5304	49949
480	5320	49981
