y_train,y_train_predict,y_test,y_test_predict
17.13,17.489025,18.3,13.010627
13.0,16.811255,12.8,10.887723
11.5,10.317369,18.4,16.439003
21.9,21.917154,11.2,12.736064
15.2,15.4194765,18.4,13.981215
12.600000000000001,12.29646,3.9,7.244941
19.36,19.524714,15.8525,16.742754
14.1,13.795684,3.1,2.6389596
19.0,18.997599,22.63,22.136953
12.9,13.059357,10.3,8.3281765
9.5,9.350838,19.35,18.800795
14.0,14.210195,10.5,11.750747
16.4,16.506618,15.56,14.428618
15.6,15.646238,0.1,9.853467
14.9,14.7213335,3.6,10.845115
6.5,7.050474,13.3,9.180408
2.5,9.545389,13.24,15.36595
4.8,4.2375994,12.4,16.09825
20.52,20.225208,6.5,3.8221686
13.4,11.9323,13.49,5.5316057
1.6,3.7052705,6.5,13.408777
8.946666666666667,8.607349,12.81,14.763453
14.6,13.805995,15.1,13.998398
14.7,13.612642,14.3,10.267796
18.5,18.34396,7.4,5.366618
4.5,6.4372025,10.7,10.4011
17.7,17.72648,14.166666666666666,16.582777
18.8,18.44586,12.5,10.87826
7.8,7.564259,21.2,19.273638
12.1,12.054307,15.59,10.7677555
14.89,13.894852,8.9,11.870574
8.2,8.712186,21.83,21.801825
12.5,11.662316,14.15,13.744519
13.53,14.305804,19.1,18.383947
20.39,20.340054,7.0,8.577464
14.2,14.223204,16.5,18.34396
8.07,7.636284,10.5,13.032941
16.5,15.373078,13.9,13.612271
14.0,15.404547,21.42,20.733711
3.5,5.697407,17.85,12.59421
10.2,10.276756,9.05,11.742438
4.06,4.6298957,15.2,15.221086
16.6,16.17915,12.2,11.389173
8.9,9.27039,23.35,20.875969
9.1,8.72032,17.39,20.770397
12.421428571428573,12.58052,12.6,18.417072
21.09,20.728615,22.22,21.225126
12.4,11.835045,12.3,13.523863
3.2,3.539794,10.0,11.22609
16.1,15.831577,14.7,14.414327
14.0,13.813307,11.8,12.397051
14.3,14.835003,11.9,16.271816
13.1,12.056743,11.9,10.653527
23.44,21.46265,4.1,4.17359
7.6,9.674893,15.4,14.446524
4.0,8.4137335,17.6,17.236345
14.8,15.61371,13.87,15.325013
15.27,13.713778,21.33,16.9371
10.8,14.422641,18.2,15.379382
11.1,11.919077,18.92,17.02803
14.8,15.518588,16.55,16.781471
2.8,3.6800914,17.71,17.509739
6.7,6.221301,12.8,9.991085
19.85,19.78912,19.26,18.244354
22.1,21.6553,21.22,19.40231
11.3,9.056826,22.7,17.060179
15.5,14.968202,0.4,0.68225056
15.7,15.671702,14.5,9.525761
14.25,13.083188,13.9,10.731673
21.4775,21.226755,19.5,16.326506
16.28,15.320735,15.11,18.93173
22.67,20.74304,21.04,19.27191
12.725,12.255858,12.215555555555557,12.258858
10.65,10.151928,17.93,18.19102
14.24,14.918619,19.16,15.361443
20.134999999999998,20.520794,12.4,13.408777
22.81,22.83908,14.1,13.015166
18.61,18.843061,4.3,9.864832
13.1,12.538374,8.01923076923077,8.788269
7.9,9.647612,8.7,8.364542
7.0,5.7933774,17.98,15.163614
8.0,10.343201,14.9,12.423937
6.8,8.889088,16.66,22.412878
8.1,8.521035,11.3,10.581582
17.71,17.86292,6.266666666666667,8.115434
19.0,20.02575,10.7,12.414607
10.85,11.211008,16.5,16.242638
12.85,12.1828,18.5,16.66001
16.41,15.407805,20.3,19.100718
20.08,20.283781,18.0,13.609255
23.39,23.152048,11.2,15.217994
6.8,7.2289963,5.8,5.612469
20.1,20.222874,16.2,14.635509
5.4,7.29658,9.1,10.2144165
14.1,14.576112,22.4,20.998852
15.5,13.871906,10.6,8.61427
9.1,9.871762,10.3,11.48839
6.2,5.054195,9.7,9.6538105
20.86,20.747564,16.35,18.125654
3.9,5.081034,20.3,19.412088
22.75,22.85029,6.0,5.086281
8.0,8.549222,21.54,20.84854
19.0,19.45088,1.2,3.0429995
18.88,16.759193,12.68,11.756076
19.1,17.256123,7.533333333333334,5.5903587
6.3,7.191997,11.875499999999999,11.168953
22.2,22.112028,23.555,22.734234
19.1,16.904737,6.9,8.749413
