ETL,ETL-2,Perovskite_deposition_procedure,Perovskite_deposition_method,Antisolvent,Precursor_solution,HTL,HTL_additive,ETL_Passivator,HTL_Passivator,Additive,Use_Cl,Cs,MA,FA,Rb,Pb,Sn,I,Br,Bandgap,PCEbest
78,105,0,35,5,14,38,25,0,0,1,0,0.0,0.15,0.85,0.0,1.0,0.0,0.85,0.15,1.627176705,18.3
133,87,1,29,30,2,135,0,0,0,1,0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.530113848,12.8
53,66,0,35,32,66,83,0,0,0,1,0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.530113848,18.4
19,105,0,23,32,64,179,25,0,0,1,0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.530113848,11.2
92,105,0,35,30,14,179,25,0,0,1,0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.530113848,18.4
92,105,0,23,30,2,90,0,0,0,1,1,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.530113848,3.9
92,105,0,23,5,14,179,25,0,0,1,0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.530113848,15.8525
133,87,1,29,30,2,92,0,0,0,1,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.263672727,3.1
78,105,0,35,25,14,179,34,0,0,1,1,0.0,0.02,0.98,0.0,1.0,0.0,0.98,0.02,1.515891667,22.63
53,105,0,23,30,2,113,20,0,0,1,1,0.0,1.0,0.0,0.0,1.0,0.0,0.3,0.7,2.000382792,10.3
78,105,0,23,20,14,179,25,0,0,74,0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.530113848,19.35
138,61,0,35,30,2,179,25,0,0,1,1,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.530113848,10.5
92,105,1,33,30,14,179,25,0,0,81,0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.686142745,15.56
138,87,1,29,30,2,237,0,0,0,1,0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.530113848,0.1
133,87,0,23,30,75,152,0,0,0,1,0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.530113848,3.6
133,87,0,23,30,75,237,0,0,0,13,0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.530113848,13.3
92,105,0,23,5,63,179,25,0,0,1,0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.686142745,13.24
53,43,0,35,32,64,113,0,0,0,1,0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.530113848,12.4
133,87,0,35,30,75,92,25,0,0,1,0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.530113848,6.5
92,105,0,35,5,64,223,0,0,0,1,0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.530113848,13.49
92,105,0,23,30,2,169,0,0,0,1,0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.530113848,6.5
78,105,1,33,30,18,179,25,0,0,1,0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.530113848,12.81
133,87,0,35,5,14,190,25,0,0,1,0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.530113848,15.1
92,69,1,33,30,2,179,25,0,0,1,0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.530113848,14.3
53,8,1,20,30,9,113,0,0,0,1,0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.530113848,7.4
133,87,0,23,30,23,179,0,0,0,1,0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.686142745,10.7
133,87,0,23,20,14,179,25,0,0,1,1,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.530113848,14.166666666666666
92,83,0,23,30,75,179,25,0,0,1,1,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.530113848,12.5
133,93,0,35,5,14,179,34,0,0,1,0,0.05,0.1615,0.7885,0.0,1.0,0.0,0.83,0.17,1.629287024,21.2
78,105,0,23,30,14,237,0,0,0,1,0,0.052,0.948,0.0,0.0,1.0,0.0,0.948,0.052,1.572068657,15.59
133,87,0,35,5,2,92,25,0,0,1,1,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.530113848,8.9
78,105,0,23,25,14,179,25,11,35,1,1,0.15,0.0,0.85,0.0,1.0,0.0,1.0,0.0,1.54605,21.83
92,105,1,0,30,86,179,25,0,0,1,0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.530113848,14.15
6,13,0,35,32,14,138,0,0,0,1,0,0.05,0.14,0.81,0.0,1.0,0.0,0.85,0.15,1.597903852,19.1
133,87,0,23,30,1,179,0,0,0,1,0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.530113848,7.0
133,93,0,23,33,14,212,34,0,0,1,0,0.1,0.135,0.765,0.0,1.0,0.0,0.85,0.15,1.606233361,16.5
92,83,0,23,30,2,179,0,0,0,1,1,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.530113848,10.5
92,105,0,23,30,2,110,25,0,0,1,1,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.530113848,13.9
78,105,1,33,30,14,179,25,0,0,1,1,0.0,0.16,0.84,0.0,1.0,0.0,1.0,0.0,1.546203579,21.42
4,105,0,35,5,14,179,25,0,0,1,0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.530113848,17.85
78,105,0,35,30,14,237,0,0,0,1,0,1.0,0.0,0.0,0.0,1.0,0.0,0.666666667,0.333333333,1.888929762,9.05
53,4,1,33,30,85,83,0,0,0,1,1,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.530113848,15.2
120,80,1,29,30,2,179,25,0,0,1,0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.530113848,12.2
78,105,0,23,5,14,179,25,0,0,1,0,0.0,0.06,0.94,0.0,1.0,0.0,0.94,0.06,1.517405,23.35
6,40,0,35,2,14,85,0,0,0,1,0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.530113848,17.39
138,40,0,23,5,14,179,25,0,0,1,0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.530113848,12.6
78,105,0,23,5,14,179,25,6,0,1,0,0.049,0.0,0.931,0.02,1.0,0.0,0.98,0.02,1.536066667,22.22
