ETL,ETL-2,Perovskite_deposition_procedure,Perovskite_deposition_method,Antisolvent,Precursor_solution,HTL,HTL_additive,ETL_Passivator,HTL_Passivator,Additive,Use_Cl,Cs,MA,FA,Rb,Pb,Sn,I,Br,Bandgap,PCEbest
9,105,0,23,30,2,179,34,0,0,1,0,0.0,0.6,0.4,0.0,1.0,0.0,0.933333333,0.066666667,1.594296364,17.13
78,105,0,35,5,14,138,25,0,0,1,0,0.0,0.15,0.85,0.0,1.0,0.0,0.85,0.15,1.627176705,13.0
133,87,0,35,5,2,21,0,0,0,1,1,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.530113848,11.5
78,105,0,35,5,14,179,25,0,11,1,1,0.0,0.08,0.92,0.0,1.0,0.0,0.92,0.08,1.579925,21.9
78,15,0,23,30,14,179,25,0,0,1,0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.50607803,15.2
133,87,1,4,30,2,179,25,0,0,1,0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.530113848,12.600000000000001
53,70,0,35,5,14,82,0,0,0,1,0,0.175,0.075,0.75,0.0,1.0,0.0,0.88,0.12,1.60003,19.36
53,75,0,35,5,14,113,0,0,0,1,0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.530113848,14.1
78,105,0,23,5,14,179,25,0,0,1,0,0.1,0.15,0.75,0.0,1.0,0.0,0.883333333,0.116666667,1.593777024,19.0
53,8,1,33,30,14,113,0,0,0,1,0,0.0,1.0,0.0,0.0,0.75,0.25,1.0,0.0,1.33,12.9
133,87,0,23,30,1,145,25,0,0,1,0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.530113848,9.5
53,105,0,23,5,30,113,0,0,0,1,0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.530113848,14.0
92,105,0,23,5,53,179,25,0,0,1,0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.530113848,16.4
108,83,0,23,30,2,179,25,0,0,1,1,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.530113848,15.6
133,60,0,23,30,75,138,25,0,0,1,0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.530113848,14.9
133,87,0,23,30,2,179,25,0,0,1,0,0.0,1.0,0.0,0.0,1.0,0.0,0.95,0.05,1.572768015,6.5
53,105,0,23,30,2,179,25,0,0,1,1,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.530113848,2.5
133,87,0,35,32,25,179,52,0,0,1,0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.328415,4.8
92,105,0,23,5,14,179,25,0,0,1,0,0.07,0.03,0.9,0.0,1.0,0.0,0.92,0.08,1.562435714,20.52
53,105,0,35,30,14,113,0,0,0,1,0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.530113848,13.4
133,87,1,29,30,2,129,25,0,0,1,0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.530113848,1.6
78,105,1,33,30,2,0,0,0,51,1,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.263672727,8.946666666666667
46,87,1,29,30,14,179,25,0,0,1,0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.530113848,14.6
10,8,0,23,5,63,113,0,0,0,1,0,0.0,0.25,0.75,0.0,0.0,1.0,1.0,0.0,1.31846,14.7
133,93,0,23,33,14,210,34,0,0,1,0,0.1,0.135,0.765,0.0,1.0,0.0,0.85,0.15,1.606233361,18.5
